Wavelength (nm),14k,11k,8k,5k,3k
190,-1.77E-02,4.91E-03,5.82E-04,-1.02E-02,2.05E-02
191,-1.08E-02,1.09E-02,4.69E-03,-1.66E-02,0.018786272
192,-1.57E-02,1.04E-02,1.22E-02,-0.006433971,8.17E-03
193,-2.32E-02,-1.08E-03,6.79E-03,-0.010381196,6.08E-03
194,-2.67E-02,1.87E-02,1.34E-02,9.08E-03,1.72E-02
195,-2.96E-02,1.50E-02,3.61E-03,7.56E-03,-5.64E-03
196,-1.50E-02,2.81E-02,1.98E-02,1.99E-02,1.00E-02
197,-2.22E-02,2.65E-02,1.42E-02,2.27E-02,1.80E-02
198,-2.02E-02,3.99E-02,2.25E-02,3.35E-02,1.74E-02
199,-1.51E-02,2.73E-02,1.81E-02,3.46E-02,9.45E-03
200,-2.59E-02,8.61E-03,5.49E-03,1.86E-02,-2.68E-03
201,-3.16E-03,2.47E-02,1.90E-02,3.13E-02,8.93E-03
202,-2.54E-03,2.44E-02,1.23E-02,0.022121247,3.28E-02
203,2.67E-02,2.64E-02,0.025756996,4.22E-02,0.06504925
204,3.97E-02,2.23E-02,1.88E-02,3.25E-02,5.45E-02
205,4.91E-02,1.02E-02,2.98E-02,4.19E-02,0.034439642
206,3.91E-02,6.92E-03,2.50E-02,2.05E-02,2.43E-02
207,2.41E-02,4.45E-03,9.87E-03,2.21E-02,1.68E-02
208,2.92E-02,1.15E-02,1.00E-02,1.67E-02,2.96E-02
209,0.029598441,1.74E-02,1.41E-02,2.52E-02,3.10E-02
210,2.66E-02,1.09E-02,8.15E-03,2.32E-02,2.44E-02
211,2.72E-02,8.87E-03,1.24E-02,2.25E-02,2.68E-02
212,2.35E-02,4.58E-03,8.70E-03,2.19E-02,2.79E-02
213,1.46E-02,1.80E-03,7.52E-03,1.95E-02,2.53E-02
214,1.31E-02,-9.34E-04,6.34E-03,1.39E-02,0.021350876
215,1.09E-02,-1.09E-03,6.97E-03,0.012720417,2.19E-02
216,6.30E-03,-3.23E-03,1.57E-03,6.58E-03,1.80E-02
217,5.09E-03,-4.23E-03,-8.73E-04,4.56E-03,1.23E-02
218,4.04E-03,-3.48E-03,3.48E-04,3.54E-03,1.41E-02
219,7.20E-03,-4.49E-03,1.07E-03,6.60E-03,1.35E-02
220,4.89E-03,7.44E-04,0.002887592,6.71E-03,1.65E-02
221,5.84E-03,4.08E-03,7.83E-03,1.18E-02,1.80E-02
222,4.35E-03,3.25E-03,1.02E-02,0.013648787,1.76E-02
223,2.38E-03,2.94E-03,7.53E-03,1.15E-02,1.41E-02
224,1.25E-03,2.43E-03,7.87E-03,1.00E-02,0.015710533
225,1.45E-03,2.09E-03,5.00E-03,7.57E-03,0.013554425
226,1.64E-03,-1.01E-03,5.43E-03,7.59E-03,1.49E-02
227,1.86E-03,2.30E-04,4.17E-03,8.15E-03,1.47E-02
228,-2.12E-04,-2.10E-03,3.26E-03,7.30E-03,1.38E-02
229,-1.61E-03,-2.05E-03,3.81E-03,7.56E-03,1.32E-02
230,-7.43E-04,-1.84E-03,4.42E-03,9.73E-03,1.37E-02
231,7.98E-04,-1.02E-03,4.56E-03,1.12E-02,1.44E-02
232,4.87E-04,-1.17E-03,5.10E-03,1.18E-02,0.015020082
233,2.00E-03,-1.35E-03,6.21E-03,1.29E-02,1.62E-02
234,2.27E-03,-1.50E-03,5.53E-03,1.20E-02,1.51E-02
235,4.20E-04,-2.29E-03,5.51E-03,1.13E-02,1.49E-02
236,2.78E-05,-2.94E-03,4.80E-03,1.03E-02,1.43E-02
237,4.68E-04,-2.49E-03,6.37E-03,0.011173316,1.53E-02
238,-3.89E-04,-1.29E-03,6.67E-03,1.04E-02,1.53E-02
239,-4.69E-04,-5.02E-04,8.45E-03,0.010908748,1.57E-02
240,-1.33E-03,-1.47E-03,6.89E-03,8.32E-03,1.55E-02
241,-1.67E-03,-4.24E-04,5.61E-03,7.47E-03,0.012997189
242,-1.90E-03,-1.02E-03,5.77E-03,5.87E-03,9.93E-03
243,-1.56E-03,7.56E-04,5.20E-03,5.62E-03,8.94E-03
244,-2.85E-03,-1.21E-03,4.20E-03,4.42E-03,7.90E-03
245,-3.36E-03,5.84E-04,3.44E-03,4.10E-03,7.08E-03
246,-9.98E-04,1.36E-03,3.46E-03,5.38E-03,7.32E-03
247,-1.87E-03,8.44E-04,3.99E-03,4.51E-03,9.06E-03
248,-2.49E-03,1.39E-03,4.11E-03,4.90E-03,8.19E-03
249,-2.78E-03,-8.01E-05,3.01E-03,3.17E-03,7.35E-03
250,-2.56E-03,1.02E-03,2.76E-03,3.39E-03,8.89E-03
251,-3.22E-03,-9.25E-04,1.59E-03,2.53E-03,7.25E-03
252,-3.32E-03,-7.39E-06,1.03E-03,2.39E-03,7.81E-03
253,-2.54E-03,-1.61E-03,8.69E-04,7.61E-04,7.35E-03
254,-3.97E-03,-2.23E-03,-5.09E-05,6.07E-04,6.02E-03
255,-3.91E-03,-2.34E-03,-2.13E-04,-6.00E-05,5.90E-03
256,-2.18E-03,-1.76E-03,-7.02E-05,-9.48E-05,5.84E-03
257,-3.93E-03,-3.18E-03,-1.17E-03,-1.21E-03,4.36E-03
258,-2.00E-03,-1.32E-03,5.70E-04,5.14E-04,6.34E-03
259,1.14E-03,7.84E-04,2.40E-03,2.97E-03,6.86E-03
260,9.79E-03,8.78E-03,9.98E-03,1.06E-02,1.38E-02
